textarea,party,condition,topic,manipulation_check
"Paid parental leave is not just a benefit; it is a fundamental right that fosters healthier families and stronger communities. The United States stands as an outlier among developed nations, with a glaring absence of federal policies ensuring adequate leave for new parents. By investing in paid parental leave, we can bridge this gap and promote a more family-friendly society. Here are a few compelling reasons why supporting federal funding for paid parental leave is an investment in our collective future: Healthier Families, Healthier Future: Paid parental leave enables parents to dedicate crucial time to the early stages of their child's development, fostering a nurturing environment that positively impacts the child's health and well-being. Workforce Retention and Productivity: Employees who have the security of paid parental leave are more likely to return to work after the birth or adoption of a child. This contributes to a stable and motivated workforce, reducing turnover and enhancing overall productivity. Gender Equality in the Workplace: Paid parental leave helps level the playing field, promoting gender equality by encouraging both mothers and fathers to take an active role in parenting. This not only benefits individual families but contributes to dismantling gender stereotypes in the workplace. Economic Growth: By supporting families during pivotal life moments, paid parental leave has a positive ripple effect on the economy. It enhances consumer spending, reduces the burden on social services, and contributes to a more resilient and thriving workforce. Global Competitiveness: Countries with comprehensive paid parental leave policies often lead in global competitiveness. By investing in the well-being of our workforce, the United States can strengthen its position in the international arena. Now, more than ever, is the time to take a bold step towards creating a nation where the well-being of families is a top priority. I urge you to consider the long-lasting impact of supporting federal funding for paid parental leave, as it not only aligns with our values of compassion and equality but also contributes to the prosperity and strength of our great nation.",2,control,parent,1
"The war in Ukraine is about more than country borders, as it also serves to determine the place the US has in geopolitics in the years to come. If we let Russia take over Ukraine, it weakens the US standing in the world and opens us up for the possibility of losing more ally-countries and potentially having our own borders questioned or threatened in the future. While it is a costly financial investment, it serves a greater interest for the western powers and the United States as a whole while also being a morally just thing to do. 

If Ukraine repels Russia, it can only serve to strengthen our nation and gives us another indebted and grateful ally who will potentially be willing to provide their services and resources to us. Especially as Ukraine is a land with exceptionally fertile soil, having access to their produce and perishable resources would only be a boon for us.

In summary; it is a high investment of resources, but the potential yield in return far outweighs the cost. Assisting Ukraine re-affirms our stance on the world stage, and gives pause to Russia and China both. And if Ukraine is successful in at least creating a stalemate or even repelling Russia, it will cause both Russia and China to second-guess attempting to challenge the US and the nations they are allied with.",2,control,ukraine,1
"I understand that we may differ on the issue of cancelling student debt, and I appreciate the opportunity to share my perspective. While we may stand on opposite sides, I believe we share common ground in our desire to see a thriving economy and a prosperous future for all.
Cancelling student debt isn't about offering relief to individuals burdened by loans; it's an investment in our collective future. By freeing graduates from the shackles of debt, we empower them to contribute more meaningfully to the economy. This injection of financial freedom not only allows for increased consumer spending but also fosters entrepreneurship and innovation. 
Furthermore, relieving the younger generation of the overwhelming financial burden associated with student loans paves the way for increased home ownership, which has far-reaching benefits for our communities. I urge you to reconsider your stance not merely as a concession but as an investment in a stronger, more dynamic economy. Together, we can shape policies that benefit not only individuals but the nation as a whole",2,control,loan,1
"The United States has long been a nation where people are given the freedom to pursue a life of liberty and happiness. For most people, this has been their American experience. But in times or in situations where people fall on hard times, the best values and virtues of America rest in our willingness to help others. We come together to give another American a hand up when they need it most, so they can focus on returning to be productive members of society. There are people who might find themselves down-on-their-luck and in need of some assistance at a difficult time to return to productivity. Helping during these tough times by providing funding for healthcare is just what people need at these difficult times. It's not about government control or socialism, it's about helping Americans achieve the American dream.",2,control,health,1
"Actually, I'm one of these people- I am definitely eligible to vote (born and raised in America, over 18), yet I am not registered to vote. There's no particular reason for me not being registered to vote besides ""I just haven't bothered yet."" I don't know if it's difficult to register, but I've never had a situation where my voter registration status has been more important than my passport. I think automatically registering Americans who are eligible to vote would also encourage people to vote in general- ""I'm registered anyways, I might as well vote"" may be the deciding factor for someone who's deciding whether they want to vote on something. If it's an issue that they care about, but not enough to register to vote, then that's one vote likely lost.",2,control,vote,1
"Voting is a fundamental right that our forefathers fought for and should be available to all Americans. Participating in the democracy that our founders worked so hard to create is our civic duty and needs to be able to be completed by all eligible Americans. Similar to the organ donor system in some states, by automatically registering Americans to vote, you create an ""opt-out"" system where those who don't want to vote don't have to, but those who do can have the ability to do so. Additionally, this ensures that everyone's voice is heard and helps create a better America for everyone in the nation.",2,control,vote,1
"I believe that we should provide aid to Ukraine to fight the invasion of Russia because historically, Russia has had a history of invading countries and must be stopped. Russia has invaded Poland in the past, and while they helped defend Poland against German occupation, they were then occupying Poland themselves. History repeats itself and we cannot, as Americans, ignore the situation going on in Ukraine when it so blatantly reflects a similar situation as in WW2. As a first world country and a leader in all things economic, social, etc. we have a moral responsibility to help protect less fortunate and more burgeoning countries.",2,control,ukraine,1
"The critical fundamental point that is the basis for this idea is that climate change is real and is a product of human behavior. This is the scientific consensus. But it is not the consensus of the Republican Party. 

If you don't believe in this, then there is no reason to proceed further, as the whole raison d'etre of the policy in question is no longer there. I would encourage you, however, to listen to the scientists. Science is one of the cornerstone of American Greatness, alongside Freedom, Democracy, and Capitalism.

I sense we can both agree on that much. I would then ask you to consider that, by going against the scientific consensus, your party is putting American Greatness at risk.",2,control,carbon,1
"There are many reasons as to why the government should allocate funds to assist those who are unable to afford health insurance. The most important reason is that every human should have the right to healthcare regardless of their circumstances. No one should have to live in fear about not being able to go to the hospital due to fear of not being able to afford medical bills. If healthcare was accessible, it would encourage people to save more thus would help contribute to the economy in a positive way. There would be more good than harm in this case in the long run.",2,control,health,1
"I believe that cancelling student debt would help the economy and encourage more people to continue their educations.  When my daughter was in college the school greatly exaggerated the amount of money that she would be able to make right after graduation.  With the advancement of AI her degree has been less beneficial to her, and I fear that is only going to get worse.  This would remove the financial stress of adults that are trying to improve themselves by going back to school also.  I know that this is a lot of money, but the government wastes so much money on other programs that have little benefit to the actual public.",2,control,loan,1
I think the best way new parents can bond with their child and have an opportunity to meaningfully participate in their growth as individuals would be to allow paid parental leave. Society has become much more complex and demanding and there are times that the only way to take a more active role in situations that require guidance and parenting would be to allow to a government funding program allowing just that. I definitely think there should be parameters and constraints on the amount of time available but I think there should be a reasonable allocation to allow for situations that necessitate one on one time between parents and their child/children.,2,control,parent,1
"No one needs semi-automatic assault-style rifles. It is a weapon that is way overpowered for your average individual. Being a collector is one thing, but what legitimate reason does one need a semi-automatic assault-style rifle? I can not think of one. You may say hunting. Why? Whatever you are hunting does not need an assault rifle to be taken down. You have the advantage. Self protection? From who? Who is legitimately coming after you with assault style rifles? If that is an actual concern for you then you may need to re-evaluate your life and what you are doing that are causing people to come after you with those types of weapons. People constantly argue about the rights to firearms but there has to be a limit on what is allowed. When it comes to active shooter situations, when police aren't involve, they are not going to sit there and ask you what you are doing, if you do not comply you will be shot. They will perceive you as a threat. So again, I ask, why does anyone, outside of say collecting weapons, which should be unusable in a collection, does an average individual legitimately need semi-automatic assault-style rifles?",2,control,gun,1
"Automatically registering Americans who are eligible to vote is an initiative that would remove barriers for those who are unable to take the time to register or for whom it is inconvenient due to employment, proximity, family obligations, etc. This action would foster patriotism with everyone sharing a responsibility for their government. When we can all participate, we have a better, more equitable society - a society where we all have a voice in its outcome. There is no substantial argument against automatically registering Americans who are eligible to vote. Every American who is eligible should be able to vote on election day without the hindrance of registration.",2,control,vote,1
"Before you think about the reasons why you oppose cancelling student loan debt, I want you to think about your outrage over this issue. Were you outraged over the $2 Trillion in tax cuts to the wealthy and the corporations in 2017. What about most of those PPP loans that were forgiven? Do you feel hypocritical now? 22 countries offer free or reduced tuition. If you oppose student loan forgiveness, then shouldn't we be working towards a more affordable, better education system in the first place where students don't need to rely on predatory student loans? I don't see anyone on the right providing any legitimate alternatives for this student loan problem.",2,control,loan,1
"Civilians should not have to decide whether to live or die due to being unable to afford health insurance. Health insurance premiums have risen a vast amount in the past few years making it unaffordable for most US citizens due to inflation with private companies. Most healthcare costs are due to unforeseen circumstances and someone's life shouldn't be up for judgement due to health insurance. Those without health insurance are reputable mothers, fathers and law abiding citizens who deserve a chance at life and to live healthy with government funded health insurance. We should stand as a united nation to support the government with providing funding to those who are unable to afford health insurance. It will withhold America to have high integrity, stand together as one, and provide hope to those in need.",2,control,health,1
"Allocating funds for people who are unable to afford their own health insurance would save everyone, including the government, money. This is due to the fact that preventative care prevents the need for emergency care later on. If someone who can not afford healthcare requires emergency care they will likely be unable to pay that debt and the hospital will lose a large amount of money as a result. On a completely different note, a healthy population is almost always a more productive population which helps to stimulate the economy, keep prices lower, and keep American jobs with in America.",2,control,health,1
"Healthcare is a basic human right. Assuming someone is trying their absolute best and still can't afford health insurance, something is not right with the way our society is being run. I'm not advocating coddling people who are unable to afford health insurance because of bad life decisions - i.e. choosing to gamble, buy drugs and/or alcohol, otherwise spend money frivolously, have a bunch of children they can't support. I'm talking about people who are working hard and not asking for handouts, they just need help with healthcare because everything is so expensive. Some people have health conditions they couldn't have avoided (for example something they inherited rather than brought upon themselves by choosing to live in an unhealthy way). I think at the very least, people in these types of situations deserve some help.",2,control,health,1
"Banning the sale of semi automatic ""assault style"" rifles is necessary because some of the sales are issued to individuals with a mental illness or if they have a criminal record.  They have a breakdown, and the person that bought the rifle could do something drastic and could seriously kill or injure innocent people. Semi automatic ""assault-style"" rifles should only be used by law enforcement or our military. They should not be sold to consumers that are not a part of the two agencies I mentioned. It is a smart thing to ban the sale of these weapons. Thank you.",2,control,gun,1
"I think it is important that we provide aid to Ukraine to fight the invasion of Russia because, as Americans, we pride ourselves on being the ""land of the free"". Ukraine does not want Russia to take over any of its land or kill any more of its people. They need our assistance to fight this war to win against the Russian tyranny. They deserve to keep their land and their culture, they deserve to be free from the conflict and Russia's attempts to land grab and murder their people. The Ukrainians have asked us for help, and as the world's largest military, we must protect their freedoms.",2,control,ukraine,1
"We should support UA because if we do not, Russia will move on other neighboring countries without any resistance.  It is important to stop Putin from rebuilding the Soviet Union and oppressing countries which have, in the past 40 years, freed themselves from the Soviet rule.  If we don't stand up now, we will be fighting a much larger war in the future, perhaps directly helping NATO keep the EU together and free.  We have been down this road in the past and we have seen the results of communist rule.  Defend now and we will not need to defend later .",2,control,ukraine,1
"Low voter turnout is a huge problem in our country. People don't bother to vote when it's inconvenient. With such a low percentage of the country voting, can we really call this a democracy? In a true democracy, the majority of the people make the decisions. But if only a small minority of people are voting, the outcome of elections are not truly the will of the people.
Therefore, it's important for as many people to vote as possible. Removing barriers to voting access would help people who either don't bother to vote because it's inconvenient or don't end up voting because they haven't registered in time or there's a problem with their registration. We should ensure everyone's right to vote by making it an easy and convenient process for everyone.",2,control,vote,1
"A shared value of all Americans is democracy. We all believe that our leaders should represent the interests of America as a whole. Because of this, every American voice matters in terms of choosing the political leaders that represent them. Regardless of if you vote, your political leader represents you. It would be unfair to force someone to have a political leader that they had no say in electing.

Right now there are some barriers to gaining the right to vote. You need a certain type of ID or you need the work flexibility to be able to go register in person. Every American is inconvenienced by these procedures, but some people are entirely excluded from voting because of them. Automatically registering all Americans to vote not only restores critical voting rights to every American, but also makes the registration process easier for everyone.",2,control,vote,1
"The whole function is the government is to care for its citizens, especially since the government would not function without the resources of those who pay their taxes. We, as a developed and industrialized society, have the resources and the reason to provide for those who cannot afford health insurance because that is the type of thing that our government was created to do. We should not be sending billions of dollars to fund genocides and bombings in foreign countries, but rather we should be spending that money on increasing the life satisfaction and ease of reality for those within our own country. This includes ensuring that every citizen of our country has access to nutritious food, clean drinking water, shelter, and especially affordable and free healthcare.",2,control,health,1
"Mega-Coorporations are making millions of dollars at the expense of our health.  They should be punished for exceeding a normal amount of carbon emissions. It's not fair that companies can make choices that most often affect those in poorer communities with less access to affordable healthcare.  Their water and air becomes polluted and there is nothing they can do about it.  If a carbon tax was implemented, it would give a punishment to those companies that are overusing our earth's resources. Perhaps the money obtained from the taxes could go towards something that would benefit everyone or at least help some people.",2,control,carbon,1
"Canceling student debt would have an extremely positive impact on the economy. It would allow people who would otherwise be unable to do so to make large purchases, such as purchasing a home. It would greatly increase the amount of disposable income many Americans have which would lead to more money in the economy. This would also lead to more jobs, which would positively impact even those who do not have college debt. This would unburden an entire generation from large, inescapable debt and inject a significant amount of cash into the economy, which would benefit all, not just those who had their debt forgiven.",2,control,loan,1
"When it comes to student debt, I feel that the price of higher education and the outcomes of getting a higher education have changed wildly over the years. Wages have become stagnant while the cost of tuition have skyrocketed. For many people, especially the millennial generation, going to college was an expectation that carried the assumption that having a college degree would yield better job outcomes with higher salaries. However, the window of time between millennials starting college and then becoming graduates and entering the workforce, the world and economy had changed greatly from the Gen X and Baby Boomer generations. 

So now, many college graduates are saddled with student debt in an economy where having a college degree does not guarantee a sufficient salary, let alone one that allows them to pay on student debt as well as pay for the necessities in life. I myself am one of these people. 

When the government sweeps in to provide bailout after bailout for corporations, why can't they do the same for actual people? We're not asking for a handout, but to help us get out from under this burden so we can be fully contributing members of society.",2,control,loan,1
"The amount of debt is overwhelming and putting not only people in debt further in debt and also affects other people with higher interests rates. Helping people out of school loan debt would help in other areas like home ownerships. It’s a bail out of sorts yes, but in the general impact, it positively influences so many other areas. These other areas which affect the economy negatively can now be taken care of longer home ownerships, car loans, credit card debt, loans, and overall debts in someone’s or some families financial situation. In the long run it may also prompt more people to go to school or back to school.",2,control,loan,1
"I would just say that implementing a federal carbon tax is a good way of cutting total carbon emissions and helping to keep the things you enjoy about nature there for your self, your kids, and your grand-kids. I don't really have much else to say. I don't think I can get you to change your mind, but I hope you think about things you enjoy in nature that won't be there anymore for you to enjoy if we don't pay more attention to the environment. I now have to write 14 more words so I can advance the page.",2,control,carbon,1
"Health insurance is vital in the United States and the inability to afford it can have detrimental effects on a person's health. It is important, hence, that people have access to healthcare when they are sick or to even prevent diseases. Many countries provide free or very affordable healthcare for their citizens, so it would be reasonable to say that the United States can help protect citizens' health by at least making it more affordable. Healthcare and the safety of citizens should always be prioritized. Moreover, it can improve Americans' satisfaction with the U.S. government because it actually lets them know that their health and well-being is valued. So, the government should definitely allocate funds to assist people in affording health insurance because it is vital to both their health and the community.",2,control,health,1
"when it comes to government assistance for insurance, it is important to consider the benefits it can bring. by providing support to those who can't fully afford insurance, we can ensure that everyone has access to necessary healthcare services. It promotes equality and helps create a healthier service. It promotes equality, helps create a healthier society overall, and can help people face financial hardship due to medical expenses. this promotes a healthier society where everyone can receive the care they need when needed.in addition government-funded insurance can help reduce overall healthcare costs by spreading the risk across a larger pool of insured individual",2,control,health,1
"Childcare in the country is extremely expensive and can be difficult for some people to access. It is also very difficult for new mothers to take care of newborns, themselves, and the household all at the same time. If there were a stronger support and funding for paternal leave, this would benefit families and lighten the burden of new parents. Allowing the father time off would also benefit the mother by either assisting her with the newborn, or allowing her to return to work more quickly if she chooses to. The U.S. federal government should care more about its families and help provide a safe and functional environment for new parents.",2,control,parent,1
"The US should definitely provide aid to Ukraine as before this conflict, the US had tense relations with Russia already. Providing support would strengthen our relationship with Ukraine and in the future, they may return the favor. From a moral standpoint, Ukraine did nothing to prompt this unfounded attack. The US likely has many Ukranian-American citizens and immigrants who are looking for support from the new nation they call home. As a superpower with more resources and funds than Ukraine, it's an obligation to offer support and furthermore, it sets a positive example for others to follow. Supporting Ukraine also ensures the safety and security of their future generations.",2,control,ukraine,1
"Automatic voter registration is not just a convenience; it's a fundamental step towards ensuring the integrity and inclusivity of our democratic process. By automatically registering eligible Americans to vote, we remove unnecessary barriers that hinder participation and disenfranchise countless citizens every election cycle.

First and foremost, automatic registration strengthens democracy by expanding the pool of registered voters. Many eligible individuals, particularly those from marginalized communities, face hurdles in navigating registration processes due to lack of awareness, time constraints, or bureaucratic complexities. By seamlessly integrating voter registration with existing government databases, we eliminate these obstacles and empower more citizens to exercise their right to vote.

Moreover, automatic registration enhances the accuracy and reliability of voter rolls. By leveraging modern technology and data-sharing systems, we minimize the risk of errors and inaccuracies that plague traditional registration methods. This reduces the likelihood of voter purges, disfranchisement, and other forms of electoral manipulation.

Critics may raise concerns about privacy or coercion, but robust safeguards can be implemented to protect individuals' privacy and ensure the integrity of the process. Ultimately, automatic registration aligns with the principles of fairness, accessibility, and equal representation that underpin a healthy democracy.

In a nation founded on the principles of self-governance and civic engagement, automatic voter registration is not just a practical reform; it's a moral imperative. By embracing this policy, we affirm our commitment to upholding the fundamental rights of all citizens and strengthening the foundation of our democracy for generations to come.",2,control,vote,1
I come from the perspective of a knot gun owner who doesn't hunt and so I understand that I probably will think differently from somebody who enjoys using semi-automatic assault style rifles to hunt. I would hope that someone who hunts with these weapons could see the destruction that these weapons have caused in mass shootings and the horror that have been brought to families of these shooting victims and consider that maybe these weapons aren't necessary maybe they could be banned and maybe other weapons could be used in place of these during hunting. Other than hunting I don't see any need to have a semi-automatic rifle as an individual. I understand people's wants to have guns to protect themselves and I understand the argument that it really is difficult to completely disarm a country. I asked that you consider just banning semi-automatic weapons So that we can make a statement that the US will no longer tolerate giving people access to weapons that destroy our people through mass shootings.,2,control,gun,1
I personally think that implementing a carbon tax in US maybe make the government some money but I don't think it will do anything for lowering carbon missions because all these businesses are gonna find a different way to cut costs to keep an operation so technically it to me it's a waste of time I don't believe it it will do any good for the environment and I believe it's all just a money game well at least that's my opinion anyway whether I'm right or wrong it doesn't really matter because it's the government and there's not much I can do about it anyway,2,control,carbon,1
People should be automatically registered to vote because that way more people will vote. Some people are too lazy to register or don't know how or they get busy and forget and then they are unable to vote. We need equal representation and so we should help people out. There are thousands of people that don't vote and there is no reason not to. This will encourage people to send in their vote because basically they don't have to do anything hard. Americans are lazy or maybe just too busy. And life is hard and we all need some help.,2,control,vote,1
"This is just straight up common sense, health insurance and coverage should not be a luxury. At some point in our life we will all need it, so every single person should have health insurance. First and foremost the cost of health coverage should be way cheaper, but that is a whole different issue. But we need to make sure people are covered, because inevitably you are going to get sick at some point in your life. So you want to make sure that every single person is covered. This should not be such a debate, as it is all about morals and keeping people healthy",2,control,health,1
"Since Russia started its war with Ukraine we have seen a drastically different military and ""might"" than we would have ever expected out of Russia. We have seen a largely ineffective military that was once believed to be on par with Americas'. With the aid we have provided so far to Ukraine they have virtually wiped out most of Russia's ground forces and shown glaring weakness that we might not have seen otherwise. By providing further assistance they will essentially finish wiping out a major super power and their military and hopefully show the Russian people they too can fight Putin. 
Its also important to note that most of the aid goes towards buying weapons and supplies from America, which means its boosts our own economy and companies by providing them the ability to build more weapons and deplete some of our older stockpile.
Supporting money for Ukraine shouldn't be a Red vs Blue issue, it should be about helping another nation defeat a country who has long been our enemy and hopefully helping to get Putin out of power, without having to waste American lives.",2,control,ukraine,1
"I believe that at least in some instances, cancelling student debt is a good idea. Some people have become burdened with debt that has handicapped them their entire lives. It would be good to relieve them of this burden. Having said that, I believe that the entire process of paying for college and debt accumulation has to be restructured. Some for-profit colleges are rapacious in demanding high costs from students and giving little in return. Education should be about enabling students, not about profits. We should cancel student debt and then work even harder on making education more affordable for all.",2,control,loan,1
"I believe that there are certain guns that should be restricted such as weapons that can fire a lot of rounds quickly. I do not believe that all guns should be restricted since people need them to hunt and defend themselves or maybe just have fun. I also know that handguns make up the large majority of suicides and homicides. However, those guns still have other uses such as self defense or hunting with few substitutes while large rifles have plenty of substitute other than for fun. Therefore while small hunting rifles, shotguns, and pistols should be protected, large guns should be banned from sale due to their overwhelming use in terrorism and harm with having few real life needs that can not be replaced with another gun.",2,control,gun,1
"Republican politicians know they can't win with their ideas so they have gerrymandered key states so that it takes twice or more democratic voters to beat republicans in those areas. That is common knowledge. They have ordered counties to purge voters that haven't voted in a while, shortened early voting times and tried to stop mail in votes as they know they have no other choices because their goals are the goals of the rich not the people. The rich want all laws and regulations that protect the public undone and democracy dismantled and they are almost done with those goals.",2,control,vote,1
"There are many people who want to own guns these days. Banning the sale of semi-automatic assault-style rifles would ensure safety for our children and loved ones, as school shootings have become very prominent due to how accessible guns have become. I find that banning these types of guns would promote better safety for everyone, as well as improving America's image overall. And rather than banning guns, it would be great if we could at least enforce laws around owning guns, such as needing to register guns. This ensures that the government is in the know on who has guns and which guns are registered, which will make it harder for those who shouldn't have guns to obtain them, as well as promoting safety. The safety of our children should be our first priority.",2,control,gun,1
"Implementing a federal carbon tax in the US is crucial for combating climate change while fostering economic growth. By taxing carbon emissions, we incentivize a shift towards cleaner energy, spur innovation, create jobs, and generate revenue for climate initiatives. It's both pragmatic and necessary for securing a sustainable future. By imposing a price on carbon emissions, we can effectively internalize the social cost of pollution, incentivizing businesses and individuals to transition towards cleaner, renewable energy sources while reducing harmful greenhouse gas emissions. With the urgency of climate change pressing upon us, implementing a federal carbon tax is not just a choice but a moral and practical imperative for safeguarding our planet and securing a sustainable future for generations to come.",2,control,carbon,1
Cancelling student debt for individuals who qualify under the Public Service Loan Forgiveness program is the right thing to do.  Individuals in this program likely made financial decisions based on the promise of debt cancellation provided they completed 10 years of qualifying public service.  Reneging on that promised cancellation is un-American.  America wants even more loyal patriots.  Those who are working in public service are employees of government and quasi-governmental agencies or institutions.  We want these people to be faithful public servants.  Betraying these individuals is betraying America.  These public servants accepted these lower-paying positions with the promise of compensation.  Don't leave them out to dry now.,2,control,loan,1
"I believe this should be a no-brainer because a population staying healthy leads to better outcomes in the entire community and ends up being more cost effective in the long run. That being said, the responsibility should be put on companies to provide insurance to their employees and the government help should only go to those who cannot get it through their employer, which I guess is basically what we have going on right now.  I feel like I made a pretty good and concise point and don't need to add more to what I've said, but I need 1 word.",2,control,health,1
"I believe that banning the sale of semi-automatic ""assault-style"" rifles is the correct route to go. No normal citizen should own a weapon that can cause that amount of destruction. I am not saying no one should be able to own a gun however, a simple hand gun or hunting rifle, I am fine with. I think they should not even be carried in public places, a hand gun purely for home safety and protection is more than enough. There is no logical reason a normal citizen should own a semi-automatic assault-style rifle that I can think of and I hope this will change your mind.",2,control,gun,1
"I think these should be banned for the safety of people going forward. There has already been too many shootings where semi-automatic rifles have been used. Other countries where these have been banned have seen shootings go down and there are still able to exercise their freedoms and use other guns without being oppressed in any practical sense. I think this makes the most sense for everybody. I understand that banning the sale won't make them dissapear but it is at least a start of a solution. This, combined with other policies could see the US not being the number one country for gun violence going forward into the future.",2,control,gun,1
