textarea,party,condition,topic,manipulation_check
"This won't change anything.  We have tons of laws on firearms already.  If people don't have access to this weapon, they'll just pick something else.  Or purchase this weapon illegally.   The problem is 2nd amendment of the constitution.  If you oppose guns, the only way to solve the issue is to convene a constitutional convention and amend the constitution to better spell out what the right to bear arms means.  Anything else is destined to fail and just keeps the status quo for longer.  A bandaid won't solve the problem.  As long as there is constitutional right to bear arms, all gun laws are destined to fail.",1,control,gun,1
"I feel that every person should have fully funded healthcare. I just don't think that anyone who is employed should rely on the government to provide that assistance. Employers have a responsibility to assist their employees with being able to afford health care by either fully paying for it or contributing a larger amount towards the cost of the care. If the government wants to contribute to ensuring that people can afford their healthcare, they should implement policies that require employers to fully fund health care for all employees. The government should only step in to assist those who are not employed or those that cannot afford healthcare due to not having the resources to pay for such care.",1,control,health,1
"I feel for the students who have a lot of debt but they knew what they were getting into when they applied for those loans. Students for years before have had to pay their own way, as today's students should do. Colleges tuitions are much too high so don't get in over your head. My grandson knew he did not want that debt hanging over his head just to say he want to a ""cool"" college. He started at community college to get his basic requirements out of the way. then he want on from there and worked his way through. He graduated, got a good job, and did not have any debt.",1,control,loan,1
"Well, first we have to start with the knowledge that there is no CO2 crisis. There is not ""too much"" carbon dioxide. This is NOT a consensus among scientists like the main stream media would have us believe. 

So of course I am not for implementing a federal carbon tax. This tax is just another con job against the American people. It is taking from the poor and middle class to enrich the elite. Do you realize the ""elite"" can buy carbon tax credits so they are still able to fly around in their private jets?? That is ridiculous and obscene. They think the American people will fall for this just like they fell for the covid vaccine. And how is that working out for you?? They will try to scare us to death and tell us the planet will fall apart unless we have this tax. And when they implement the tax, it will NEVER go away.",1,control,carbon,1
"Think about it as if there was an objective goal at the end of the day between both countries. If it came down to providing support or not, would you want your fellow Americans to have support? What about your family? It has to be these determining points that allows you to view the situation with a good rationale and logic behind it. There is a limitation to where we can help and if we can't help at home first we shouldn't be outside trying to do it elsewhere. Unless you can explain to me how somewhere else is more important than home I'd love to hear it.",1,control,ukraine,1
"Automatically? I'm not sure what this means. Does it mean when the person has a legitimate American birth certificate? Or a legitimate document of an immigrant who has been naturalized? Where will this be done? At County Records automatically? No. I think each person who feels they are a legitimate American citizen without any criminal history and can prove it with a birth certificate or naturalization papers should actually go to the election office in their state/county and sign up personally. I think fingerprints of each citizen should also be on record so they can be compared at the time of voting. This is not unusual technology, even my cell phone and ipad use fingerprints or face validation. Why not our government?",1,control,vote,1
"The United States has plenty of problems here. We do not need to allocate important funds to fight a proxy war in Europe. It doesn't seem that Ukraine will be able to win the war, so it seems pointless to continue throwing money at a stalemate at best. Ukraine also has not proven itself to be free of corruption, so we shouldn't give money to a government that isn't using the funds provided with its citizens best interest in mind. Funding the Ukrainian war efforts seems less effective that something like economic sanction, which will still hurt Russia while not directly involving the US in the conflict. There is also a chance that US aid to Ukraine could result in an escalation that will eventually involve American troops being deployed in a conflict with Russia.",1,control,ukraine,1
"I was initially in favor of  funding for the Ukraine war but as the conflict wages on I find myself less and less supportive.  We have no real accounting for the money that has already been spent.  The Ukraine government is notoriously corrupt and frankly I don't trust them with our money.  Which leads me to my next point - the US should be focusing on the US.  The amount of money given to the military industrial complex is obscene.  Those dollars, if to be spent at all should be spent on and for the American people.  I don't support Russian aggression but continuing to spend money on an never ending war is foolish.",1,control,ukraine,1
"I had to pay $50,000+ of student loan debt and I was able to do so while working full time right out of college. If I can do it, so can everyone else. It shouldn't be forgiven. It should be the borrower's responsibility to pay it. However, I do believe that student debt should have a very low interest rate, because I understand that interest gets a lot of borrowers in trouble. I think that if you make your minimum payments each month, you shouldn't have interest accumulating on what you owe. That is my personal belief on this issue.",1,control,loan,1
"The Draft is a thing of the past. Yes, it is very important to have a strong military but not at the expense of forcing someone. There are plenty of people who want to and willingly enlist. This gives us a strong military for addressing the needs of our country. Let us not become a country that forces the hand of those who live here and give the ones who want to join that privilege.I believe this will make for a better, stronger America. People will not be inclined to leave the country trying to avoid being automatically registered. Instead those who want to serve will serve this great country.",1,control,vote,1
"We have funded and supported Ukraine enough, I understand that without us Russia would have an advantage. But I believe we have enough problems on our homeland. A large amount of money is spent overseas and I honestly feel like we should be less involved and try to solve problems here. We do not have to totally abandon Ukraine, but I believe we should definitely pay a lot less. There does not appear to be that much reward for sharing so much aid overseas. Would rather address the issues here and then once we get back on the right track we can help these type of issues.",1,control,ukraine,1
"Although you may hold the belief that many also do that semi-automatic assault-style rifles are responsible for killing many innocent people, at which point does the government stop banning items? First you ban the gun, then the government goes after something else. It's your constitutional right no matter how much you belief it shouldn't to own this item, don't take your rights away. Who knows what the future holds, maybe the government will start tackling your gasoline powered vehicle and deem it responsible for many deaths. Then you will be tackling the issue of persuading people not to ban gasoline powered motor vehicles.",1,control,gun,1
"I think providing more aid to Ukraine is a bad idea because we have so much going on in our own country that needs to be taken care of.  For instance, we desperately need to care for our homeless and especially homeless veterans.  We need to take care of our children and the system that helps them.  That system needs more people and they can't get more people to work without having the money to spend to get them to work.  This country needs our help before we go giving it away to other countries. So that's my thoughts on this matter.",1,control,ukraine,1
"Personally, I would prefer the program to be funded on the private side, within the company.  Like most federal programs, this would open itself to extensive abuse and wasted taxpayer money.  Once the federal government assumes authority over a program/issue they begin to install their requirements that typically favor those who are perceived as loyal to the party.  Institute a program like this, and I guarantee it will be filled with countless identity criteria that focuses on recently discovered underrepresented groups.  These programs only serve as a means for the federal government to infringe on private business, making it more difficult to maintain a consistent workforce.",1,control,parent,1
"Why do we spend billions in aid to Ukraine and Israel when our country is falling part? Ukraine has not even humored sitting down and ending this war in diplomatic talks, even as other world leaders urge them to do so. Why should we continue to let them steal billions away from us, and leave it held unaccountable? It would be one thing if they provided receipts, but they never do. 

Our country's infrastructure is a joke. Crime is running rampant, our southern border is open to a current invasion. Why does Ukraine get to have borders but America does not?

We do not live in a fantasy world. This is the real world, and unless we hold politicians on both ends of the aisle accountable to the American people, this country will continue to fall.",1,control,ukraine,1
"I do not feel implementing a federal carbon tax is a good idea.You will be hurting companies and might put them out of business. This will put a lot of small business owners out of business. This will increase prices that big stores have to charge for their products. People can't afford higher prices in this economy. Some people might lose jobs. If companies or people feel that this is going to save the planet, maybe they should donate more money to the cause. A person or company should be entitled to sell anything without being impacted by a federal carbon tax, which some people don't even feel impacts the environment.",1,control,carbon,1
"I believe that adding a carbon tax is an inefficient way to get people to use green energy. It may work, but I think that other incentives like tax credits for hybrid vehicles, solar panels, and using other forms of green energy will work better than simply punishing those who chose to use traditional fossil fuels. Some may just pay the tax and continue to use their vehicle. I think that a reward system for using green energy instead of fossil fuels is a better way to get people away from using fuels that pollute more. People would much prefer rewards much more.",1,control,carbon,1
"Continuing to try to force the climate change agenda before we have developed the technology to insure that the middle to lower classes are not the ones to bear the brunt of the costs is important.Studies have shown that they will be the ones who are most hurt financially with these efforts to implement all of these new policies. Companies do not absorb these new taxes as a general rule, but rather pass them on to the consumer. As prices continue to go up we will slowly reach a tipping point. Chaos will ensure. When people can no longer afford the basic necessities of life they will do whatever is required to provide for their families.",1,control,carbon,1
"cancelling student debt is not a good way to encourage higher education. its not fair to all the students that have already paid their debts in full. its like giving a free ride and might even encourage more dropouts. to me its just completely unfair and the taxpayers suffer the consequences in the long run. students should either get a student loan, scholarship, or parents help in order to attend a college. not get their debt paid for free after other students have worked hard to pay theirs off. if you cancel student debt, it needs to be refunded to those that have already paid it off as well.",1,control,loan,1
"While we both agree that voting is so very important and every American should have their voice heard . I personally believe this will open the door to election fraud. If a person wants to vote , they will register .  People are intelligent , and they know they can easily register if they choose to .  Some people , perhaps younger people are not ready to vote, or did not care for either candidate and have decided to forego a certain election .  When people are automatically registered , this opens the door to criminals with nefarious intents . People have choices , and this is a very personal choice and should not be infringed upon .",1,control,vote,1
"I do not believe that the government should use tax payers money to fund paid parental leave.  I see this type of benefit supporting lower income families to have more children and larger families.  We already have many lower income families being supported in the welfare system for support.  Now we will be giving even more to those that decide to have child that they can not take care of.


When I had my children, I saved up my vacation time and took a week of work to spend time with my wife and baby.  I do not believe other tax payers need to support me during this time as I will be responsible for myself and my family.
",1,control,parent,1
"I urge you to reconsider your stance on providing aid to Ukraine to fight the invasion of Russia. While we may have differing political views, I believe this issue transcends party lines and calls for a unified response based on humanitarian principles and international solidarity. The invasion by Russia is a blatant violation of Ukraine's sovereignty and territorial integrity. It represents a threat to the stability of the region and underminds the principles of democracy and self-determination. By providing aid to Ukraine, we can demonstrate our commitment to upholding these principles and standing up against aggression and tyranny towards others.",1,control,ukraine,1
"When you apply for any type of schooling, you know that you will incur debt for this service. Many high school students do not go to college due to not having the funds to do so. The ones that go to college should have a plan for payment of the student loan. The cancelling of student debt will fall on taxpayers of all ages that had nothing to do with the loan and the student. Many do need the extra cost put on them because students are tying to get out of paying their school loan due to the governement.",1,control,loan,1
"Dear friend, it is crucial that we consider the situation in Ukraine from a humanitarian perspective. Russia's invasion has caused suffering and destabilization in the region, and it is our moral responsibility to extend a helping hand to those fighting for their freedom and autonomy.
By supporting Ukraine, we are not only defending a country's sovereignty, but also the fundamental values of peace, justice and democracy. International solidarity is essential to counter aggression and ensure a secure future for generations to come.
Together, we can make a difference and promote a world where freedom and self-determination are respected. bye bye",1,control,ukraine,1
"It would not be right to automaticlly register Americans who are eligible to vote mainly because it is not very secure and people should have manditory identification to do that, as well as when they go to vote because there are many faults votes as well as people will be getting registered by mistake. To much is going on illegally in our country, that should be stopped and this would add to it or more problems will be created that will hurt and be very unfair to honest people in the USA who do the right thing to fully support our country.",1,control,vote,1
We should not fund aid to Ukraine.. what have they ever done for us? We keep sending our money out to other countries who do not care to help us in return. Is Ukraine sending us money to help the homeless? Sending us help to make sure our citizens live a healthy life? No. So why must we always be the better people and waste our money and income on people of other countries. This money could be used much better on ourselves to help our own people before we go out and start helping other people in different countries.,1,control,ukraine,1
"hello! 

I want to talk about why carbon tax makes sense for American citizens and possible the rest of the world. It is a powerful tool to help fight against climate change to uphold companies to pay for the pollution that they create. It is a great incentive for them to make better decision on have cleaner ways to do business. It can benefit people when it creates jobs in solar and water. In so many way the carbon tax can actually boost the economy when people create innovations and investment in green technologies. We can be fair by giving low income families rebates to offset the expensive items and services. We can help workers transition to the new jobs to learn the new sector. It is a smart decision to achieve goals of healthier plants and stronger economy.

Sincerely your friend.",1,control,carbon,1
"I can't judge others.who the heck am I to judge others. America is going to do what they want anyway. I feel that it is  what it is. People are going to do what they want and voting is basically a sham anyway. I can't judge at all. Who am I.  I can't judge
.. seriously. But seriously, who the heck am I to judge on voting. It is not my place. I feel likeit is a problem  people are going g to scam anyway when it comes right down to it.I FEEL THAT IT IS A REALLY DUMB QUESTION",1,control,vote,1
"I don't believe cancelling student debt is a good idea, I am of the opinion that all debt has to be paid back.  Cancelling student debt will cost the government which will make the burden fall on the general public.  I think taxes will be raised to pay for this debt, with people already struggling to make ends meet I don't think this is fair.  Also it could effect the inflation rate as well as interest rates.  If the interest rates are raised then people are less likely to borrow money which can discourage spending. Raising the interest rates on credit cards would make it difficult for consumers to pay down the debt, again this would discourage spending.  Students paying off their debt would make them feel good, they would feel proud that they had worked hard to be student debt free.",1,control,loan,1
"Our government is already way too far in debt. We do not need another expensive entitlement program. Sure it would be nice to fund parental leave. It would be nice to fund a lot of things. But reality is that resources are limited and needs have to be prioritized.

People have been raising children for millennia without the government's help and they will go on doing it. And if you let the government get into your child rearing, guess what happens then? Next they will be using that money you're depending on to coerce you into certain behaviors. First it might be vaccinations: if you don't get all these vaccines for your kid, we'll hold back the money.

It's called letting the camel get its nose under the tent.",1,control,parent,1
"I have a bit of a problem just cancelling student debt.  I do agree that expenses have gotten out of control.  I have also see students just spending and spending and not working.  I would favor an exchange of percentage of loans forgiven for equitable work in service to others.  Positions would be paid but in places extra help is needed.  Teachers in low level schools, aids in nursing/rehab centers as examples.

High loan problems have been known for years but still loans are being spent on frivilous items and splurges.  You sent the money, you have to pay it back.",1,control,loan,1
"Cancelling student debt will not help with economic equality, and, will in fact, reinforce it. It would act as a sort of regressive tax that would mostly benefit people who already statistically make more money than usual. If student debt is cancelled, it will not happen in a vacuum, and it will cause prices to rise, most harming the people who cannot afford this. It does not make sense to enact policies that help people who are middle class and even wealthier at the expense of the working poor. People should have to pay back money that they have promised to - it's just the right thing to do. No one was tricked or coerced into taking these loans.",1,control,loan,1
"Ukraine has long been known as one of the most corrupt governments in the world.  Even their postal workers will steal church donations sent by churches in the United States to churches in Ukraine.  It is ingrained in their society.  It is acceptable to them.  Couple that with the most corrupt President we in the United States have ever had and the fact that no one can account for the monies already sent to Ukraine, well, it's an easy decision.  No more funding corruption with tax dollars.  Why was Trump able to keep this war from happening but Biden begs daily for more money?",1,control,ukraine,1
"I feel like implementing a federal carbon tax in the US would be bad. It would worsen the economy, cause big businesses to raise taxes and item prices and potentially lay off employees. It is a very risky thing to do which is why Congress has yet to pass such a law. There would be no competition in our exports going out of the country. This would not help the US financially. There are other things that companies can do so we do not have to resort to a carbon tax. This carbon tax can really hurt lower income Americans. they do not have much as it is and this would create an even bigger financial burden on them. There would also be a lot of pushback from Americans as well as business. It would be hard to implement because it hasn't been done before, so no one knows what a good tax would be to make everyone happy. There are just risks all around and it would be better if we didn't continue to hurt the economy in the US.",1,control,carbon,1
"The right of the people to keep and bear arms shall not be infringed. That is the text of the 2nd Amendment. The people need firearms for self-defense, whether it is to protect their personhood, property, or country. Any restriction of this right defies the Constitutional and God-given right of every American. What would banning semi-automatic rifles accomplish? The government would still have them. Criminals would still have them. The people who need to protect themselves from those two entities would not have them. If you think 'guns' in general are a problem then you don't belong in America and don't understand the world.",1,control,gun,1
"Hello, here are the reasons as to why I'm totally against the banning of semi-automatic assault rifles. Let us start with the basics, the thing that you will hear the most with this type of question. We have the right to own weapons, it's in our rights. Weapons are used to defend ourselves from danger. 

The counter to this fact that democrats normally say is ""Who needs a semi-auto or a fully auto rifle to defend themselves?"" That is indeed a very good question to ask, one that we need to think about deeply. Have you ever wondered where criminals get their guns? How come, that even in countries where guns are banned (like in Japan), there are still criminals who use all sorts of guns, ranging from your standard handguns, mid powered uzis, to high-powered fully automatic assault rifles? They certainly did not buy them legally because those things are banned in Japan. So where did these guns come from? Simple answer - The Black Market.

There are many places in the world, and even the internet (dark web), where you can easily purchase weapons of every caliber. These are usually run by syndicates or organizations that are focused on criminal activity. They have many ""fences"" or places where they sell or trade weapons, and this means that they have connections with local gangs or ""dark web sellers"".

So what happens if criminals can easily obtain these types of powerful weapons, while us normal citizens only have access to the weaker types? What can a handgun, with maybe around 15 rounds, do against high powered weapons like semi or fully automatic assault rifles, that have 30 or so rounds each and can quickly reload? The result is we, the average citizens, become victims. We die, we get violated, our family also gets killed or assaulted sexually, everything we have earned through our hard work gets taken away by these criminals with their high powered weapons.

Next, let's see if our democratic politicians actually practice what they preach about their anti-gun stances. Have you heard of Stacey Arbams, a former democrat Georgia State Representative? In a past public interview, she stated that guns should be banned. But if that's her stance, then why does she have three fully armed bodyguards protecting her at all times? Why do these politicians also own guns themselves if they're saying we shouldn't own guns at all? That's the problem, these anti-gun politicians don't practice what they preach. They keep telling us what we can and cannot have, but it doesn't apply to them. These politicians are hypocrites.

Let's jump to another matter. In an ideal world, we can always rely on our police and military to protect us from criminals and invaders. But let's check out what happens in real life. Imagine you're a woman going home at night, then some thug jumps out of the bushes and he starts threatening you with a knife. He orders you to follow him into the dark alley and to take off all of your clothes. What do you do? Are you just gonna try to run away while calling 911? Can you even successfully call 911 while you're running? Do you even know exactly where you are? How much of a panic are you in right now? You'll probably start shaking and cry and you own't be able to move. This is why it is important for you to own a gun AND have gun training. Gun training doesn't simply mean being able to accurately shoot. It also involves discipline in order to develop your mind to not panic during threatening situations. Gun training also teaches you when it is appropriate to use your gun to defend yourself. With proper gun training, you'll be confident in defending yourself or the people you care about from nasty criminals who want to assault you.

In conclusion, there is no reason to ban semi-auto assault rifles or any type of weapon at all, because the criminals who are trying to victimize us have access to even more powerful weapons. By banning our access to better weapons, we are surrendering to the criminals. It is our right to own weapons and defend ourselves. Do not let the criminals have the upper hand.",1,control,gun,1
"the parent should use their pto for this even and not federal funding. pto could be saved for a year or so. otherwise, time off from the job should be allowed, not paid of couse. money should be saved for this event. the couple should prepare through budget and plan management of saving money for events like this. if money is not saved, then this couple is irresponsible and probably will not have money for the child anyway. this may sound severe but the couple will be better in the long term. this is my opinion, so take it or leave it.",1,control,parent,1
"I disagree with the suggested Prohibition of Semi-automatic ""assault-style"" gun sales 


I appreciate the worries about gun violence, but the rights of law-abiding citizens would be unjustly violated by this ban

A cornerstone of American freedom is the Second Amendment, which guarantees the right to bear arms. To ban semi-automatics would be to violate this fundamental right if this right is violated what is the next constitutional right to be violated?

Furthermore, assault style is a vague term that frequently relates to flair rather than functionality, and addressing the underlying cause of gun violence would be difficult with such a ban considering research sow that Handguns 

",1,control,gun,1
"Canceling is not such a great idea. Forgiving some of the funds might be ok, but outright canceling it is a bad idea. It gives the wrong impression that it's ok to default on money owed. I also feel like the universities or learning institutions, in good faith, provided an education or service and expected to, as a business, be paid. I could be wrong, but I doubt a bank will loan you money for a car, and when you decide you no longer are going to pay back the loan they just say, ""No problem, and by the way, just keep the car.""",1,control,loan,1
"Personally, I do not see how banning the sale of these rifles will curb crime in any way. As a matter of fact, crime will probably increase due to the fact if a criminal wants this type of weapon, they will break into houses and business in search of these guns in particular, ones that were sold before the ban. Preventing people from buying or owning any type of weapon, is leave them weak and vulnerable. It amounts to the bad guy knowing that he has the upper hand. There are many ways that criminals, murderers, commit their crimes and I do not support the banning of knives, hammers, screwdrivers or even ""assault=style"" rifles. If a foreign country invades American soil to take over our country, people will be glad that honest, patriotic citizens have those weapons.",1,control,gun,1
"I do not think this is a good idea at the moment, there are already too many illegals in this country. If these so called migrants are allowed to be registered and vote without going through a process every American have to go through, it is going to cause chaos in the streets. American have become a melting pot for every other country to invade. We need to start deporting people who are in this country illegally before thinking about giving them the right to vote. Hopefully the american people start waking up to this non sense that is going on and go against these democrats that love to destroy everything they get their hands on.",1,control,vote,1
"A carbon tax would be recessive in the United States. Fossil Fuels would become more expensive, which would then be a burden on lower-income residents. It would equal paying more of their income for necessities like gas, food, and electricity. It would also raise the cost of manufacturing which would lead to higher product costs in general. Many companies would end up going out of business, like the coal industry and gas industry. In turn, many people will lose jobs as well. The Carbon Tax would also be difficult to implement because it would require accurate measurements and reporting of emissions. I think there would be huge challenges in determining the appropriate price for carbon and then ensuring that it is accurately passed on to consumers.",1,control,carbon,1
"I never had a strong position about the banning/not banning of semi-automatic rifles in the past.  But that all changed one night when neighbors of mine went through a devastating experience.  The husband had been out of town for work, and because of his trips out of town, he made sure his wife knew how to operate their AR15.  It was always properly locked up in their gun safe.  One night, four men broke into their house, waking her and their two children up.  She immediately jumped up and went to the safe to retrieve the gun, which was already loaded.  Just then, two of the men busted through her bedroom door.  They both had guns; one shot at her first, but luckily missed her.  She shot back and hit both the men.  The two remaining men heard the commotion and ran back out the front door.  She immediately ran to the children's room and found they were untouched and okay.  If she had not had protection that night for her and her children, that night would have ended very differently.  A regular handgun may not have been as effective or quick enough to quell the situation.  They have emotional scars that most likely will always remain, but because of their AR, they live to tell the tale.",1,control,gun,1
"Voting is one of the sacred rights in America. Every United States citizen has the right to vote for whomever they please. However, this is a right, not an obligation. Since Americans are not forced to vote, so they also should not be forced to register. This is part of the freedoms we enjoy in America. In fact, automatic registration places an additional burden on those who don't wish to vote. They must actively remove themselves from the voter roles. The voter registration process should be available to anyone, but not forced on anyone. This is the American way, where freedom is protected.",1,control,vote,1
"Automatic voters registration is a crucial step towards ensuring a more inclusive and efficient electoral process in the united states. By automatically registering eligible citizens to vote, we remove the unnecessary barriers, streamline and registration process, ultimately increasing voter participation and representation. Currently, many individuals Americans are disenfranchised due to the complexities and the hurdles associated with voter registration. Automatic registration addresses these issues by leveraging existing Governments database to identify and register eligible voters. Moreover, automatic voters registration promotes equity by reaching population that are underrepresented in the electoral processes. In conclusion, automatic voter registration is common sense reform that enhances democracy by making it easier for eligible Americans to exercise their fundamental rights to vote.",1,control,vote,1
The government can ban any weapon that might come to your mind and people will still find a way to cause harm to each other.Weapons are not the problem; the people are the problem.If semi automatic rifles are banned people will still use pistols to harm and/or kill people.People can still use a baseball bat to harm.We need to address the actual problem here which consists of a single individual that one day just decides to cause harm and terror to another individual.Everybody can help reduce the criminals in our streets by teaching our kids what is wrong and what is right.Lets all play our part and help educate kids to protect instead of attack.,1,control,gun,1
"I see pros and cons to cancelling student debt.  Cancelling it can help the students not be in such financial strain.  But what's to keep people from going to school for golf instead of something that benefits society.  I think there should be guidelines, maybe maintaining a certain GPA.  There needs to be a reasonable payoff.  If somebody is getting a degree, but has spent time taking random classes those classes do not need to be paid off.  The extra classes would simply be extras the decided to take.  There are pros and cons to each and a lot of things need to be evaluated before reaching a decision.",1,control,loan,1
I see student debt like I see other debt. It belongs to the person who borrowed it. Not anyone else. I myself have used some student loans and would never ask anyone else to pay for my loans. I think it’s a slippery slope doing something like this. I think it’s a really harmful thing to teach people in society that they aren’t responsible for their actions and that they are entitled to others money or others covering their debt. It can be paid back slowly but it should be paid back by the borrower not anyone else. The American people are losing responsibility for their actions one thing at a time and it’s ruining our society.,1,control,loan,1
"Every law we pass for simple things like this,take away a little more of our freedom. People should continue to have the option to be included in voting registries. Maybe they don't care about politics. Maybe they want to live off the grid. That's our individual option and freedom of choice as an American.
The amount of people registered that may never vote could leave room for voter fraud during elections. Something similar to identity theft where ones ballot is used by another person for nefarious means. 
People should take pride in turning 18 and being able to go register themselves to participate in elections in America.I definitely remember coming of age and writing my information in the form for the first time,making me eligible to vote in my first election. Pride. In being an American and having the choice to do what I feel is right for me.",1,control,vote,1
"Semi-automatic rifles should not be banned because ownership of firearms is a constitutional right that is protected by the second amendment. Crime and shootings are commonplace due to a degrading societal culture and our government's failure to remedy these problems. They have failed to look at the root causes of problems such as mass shootings and until they do so, these problems will persist. At this point, the right to own firearms is the last opportunity for the law-abiding citizen to defend themselves in a society where the law-makers and police have failed us. Banning certain types of firearms will not solve any real problems as the root causes have not been addressed and those who are prone to violence will find other methods of committing these acts. Ultimately, any talk of banning any weapons (which any of us could need someday) is all disingenuous fluff by a government who refuses to protect us and we should be immediately distrustful at any mention of limiting our rights.",1,control,gun,1
